# BEGIN PLOT
LegendOnly=/CMS_2019_I1753680/d33-x01-y01 //eos/home-m/mguo/Yodafiles/Run10/run10.yoda/CMS_2019_I1753680/d33-x01-y01 //eos/home-m/mguo/Yodafiles/Run08/merged.yoda/CMS_2019_I1753680/d33-x01-y01 //eos/home-m/mguo/Yodafiles/Run06/merged.yoda/CMS_2019_I1753680/d33-x01-y01 //eos/home-m/mguo/Yodafiles/Run04/merged.yoda/CMS_2019_I1753680/d33-x01-y01
DrawOnly=/CMS_2019_I1753680/d33-x01-y01 //eos/home-m/mguo/Yodafiles/Run10/run10.yoda/CMS_2019_I1753680/d33-x01-y01 //eos/home-m/mguo/Yodafiles/Run08/merged.yoda/CMS_2019_I1753680/d33-x01-y01 //eos/home-m/mguo/Yodafiles/Run06/merged.yoda/CMS_2019_I1753680/d33-x01-y01 //eos/home-m/mguo/Yodafiles/Run04/merged.yoda/CMS_2019_I1753680/d33-x01-y01
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$, $0 < |y^{Z}| < 0.4$
RatioPlotReference=/CMS_2019_I1753680/d33-x01-y01
RatioPlot=1
LogX=1
LogY=0
RatioPlotYMax=1.25
XLabel=$p_{T}^{Z}$ [GeV]
YLabel=$1/\sigma d\sigma/dp_{T}^{Z}$ [1/GeV]
XMin=0.1
Legend=1
RatioPlotYMin=0.75
RemoveOptions=1
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d33-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d33-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.915600e-02	2.689900e-04	2.689900e-04
1.000000e+00	2.000000e+00	4.823100e-02	6.772300e-04	6.772300e-04
2.000000e+00	3.000000e+00	6.749400e-02	9.175500e-04	9.175500e-04
3.000000e+00	4.000000e+00	7.638300e-02	9.721000e-04	9.721000e-04
4.000000e+00	5.000000e+00	7.792100e-02	9.590200e-04	9.590200e-04
5.000000e+00	6.000000e+00	7.503300e-02	9.234800e-04	9.234800e-04
6.000000e+00	7.000000e+00	7.079700e-02	8.761400e-04	8.761400e-04
7.000000e+00	8.000000e+00	6.607500e-02	8.273000e-04	8.273000e-04
8.000000e+00	9.000000e+00	6.165700e-02	7.742400e-04	7.742400e-04
9.000000e+00	1.000000e+01	5.667400e-02	7.003300e-04	7.003300e-04
1.000000e+01	1.100000e+01	5.176600e-02	6.261500e-04	6.261500e-04
1.100000e+01	1.200000e+01	4.752700e-02	5.683500e-04	5.683500e-04
1.200000e+01	1.300000e+01	4.460700e-02	5.301200e-04	5.301200e-04
1.300000e+01	1.400000e+01	4.130200e-02	4.889700e-04	4.889700e-04
1.400000e+01	1.600000e+01	3.607400e-02	4.259100e-04	4.259100e-04
1.600000e+01	1.800000e+01	3.083200e-02	3.623400e-04	3.623400e-04
1.800000e+01	2.000000e+01	2.692400e-02	3.134900e-04	3.134900e-04
2.000000e+01	2.200000e+01	2.328200e-02	2.667900e-04	2.667900e-04
2.200000e+01	2.500000e+01	1.956600e-02	2.212900e-04	2.212900e-04
2.500000e+01	2.800000e+01	1.638000e-02	1.821300e-04	1.821300e-04
2.800000e+01	3.200000e+01	1.295800e-02	1.395400e-04	1.395400e-04
3.200000e+01	3.700000e+01	1.025000e-02	1.069200e-04	1.069200e-04
3.700000e+01	4.300000e+01	7.631800e-03	7.813400e-05	7.813400e-05
4.300000e+01	5.200000e+01	5.319500e-03	5.403800e-05	5.403800e-05
5.200000e+01	6.500000e+01	3.239900e-03	3.330700e-05	3.330700e-05
6.500000e+01	8.500000e+01	1.685800e-03	1.819700e-05	1.819700e-05
8.500000e+01	1.200000e+02	7.235000e-04	8.534100e-06	8.534100e-06
1.200000e+02	1.600000e+02	2.690600e-04	3.680700e-06	3.680700e-06
1.600000e+02	1.900000e+02	1.172300e-04	1.912700e-06	1.912700e-06
1.900000e+02	2.200000e+02	6.235700e-05	1.205600e-06	1.205600e-06
2.200000e+02	2.500000e+02	3.519900e-05	7.955200e-07	7.955200e-07
2.500000e+02	3.000000e+02	1.847900e-05	4.689700e-07	4.689700e-07
3.000000e+02	4.000000e+02	6.360800e-06	1.858900e-07	1.858900e-07
4.000000e+02	1.500000e+03	2.631400e-07	9.346000e-09	9.346000e-09
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mguo/Yodafiles/Run10/run10.yoda/CMS_2019_I1753680/d33-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mguo/Yodafiles/Run10/run10.yoda/CMS_2019_I1753680/d33-x01-y01
ScaledBy=1.00294533838904705e-10
Title=Run10
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	2.659116e-02	3.476252e-04	3.476252e-04
1.000000e+00	2.000000e+00	6.916800e-02	5.378020e-04	5.378020e-04
2.000000e+00	3.000000e+00	9.270366e-02	6.314928e-04	6.314928e-04
3.000000e+00	4.000000e+00	9.408414e-02	6.216520e-04	6.216520e-04
4.000000e+00	5.000000e+00	8.410909e-02	5.817937e-04	5.817937e-04
5.000000e+00	6.000000e+00	7.190359e-02	5.262835e-04	5.262835e-04
6.000000e+00	7.000000e+00	6.145844e-02	4.731993e-04	4.731993e-04
7.000000e+00	8.000000e+00	5.379266e-02	4.394170e-04	4.394170e-04
8.000000e+00	9.000000e+00	4.760770e-02	4.013194e-04	4.013194e-04
9.000000e+00	1.000000e+01	4.211997e-02	3.821718e-04	3.821718e-04
1.000000e+01	1.100000e+01	3.863268e-02	3.732038e-04	3.732038e-04
